"TestbedName","rtt","Ext_Net_Perc","cc","pp","cores","freq","Throughput"
"CloudLab-HTML",30,0,28,32,6,1200000,402.76272
"CloudLab-HTML",30,25,28,32,6,1200000,402.76272
"CloudLab-HTML",30,50,28,32,6,1200000,402.76272
"CloudLab-HTML",30,75,28,32,6,1200000,402.76272
"CloudLab-HTML",40,0,12,28,8,2000000,236.998794
"CloudLab-HTML",40,25,12,28,8,2000000,236.998794
"CloudLab-HTML",40,50,12,28,8,2000000,236.998794
"CloudLab-HTML",40,75,12,28,8,2000000,236.998794
"CloudLab-HTML",50,0,12,28,8,2000000,183.359871
"CloudLab-HTML",50,25,12,28,8,2000000,183.359871
"CloudLab-HTML",50,50,12,28,8,2000000,183.359871
"CloudLab-HTML",50,75,12,28,8,2000000,183.359871
"CloudLab-HTML",60,0,12,28,8,1600000,164.031455
"CloudLab-HTML",60,25,12,28,8,1600000,164.031455
"CloudLab-HTML",60,50,12,28,8,1600000,164.031455
"CloudLab-HTML",60,75,12,28,8,1600000,164.031455
"CloudLab-HTML",70,0,12,28,4,1200000,140.348352
"CloudLab-HTML",70,25,12,28,4,1200000,140.348352
"CloudLab-HTML",70,50,12,28,4,1200000,140.348352
"CloudLab-HTML",70,75,12,28,4,1200000,140.348352
"CloudLab-HTML",80,0,4,32,4,2400000,63.267396
"CloudLab-HTML",80,25,4,32,4,2400000,63.267396
"CloudLab-HTML",80,50,4,32,4,2400000,63.267396
"CloudLab-HTML",80,75,4,32,4,2400000,63.267396
"CloudLab-HTML",90,0,16,28,8,1800000,115.35749299999999
"CloudLab-HTML",90,25,16,28,8,1800000,115.35749299999999
"CloudLab-HTML",90,50,16,28,8,1800000,115.35749299999999
"CloudLab-HTML",90,75,16,28,8,1800000,115.35749299999999
"CloudLab-HTML",100,0,28,28,20,2200000,175.733799
"CloudLab-HTML",100,25,28,28,20,2200000,175.733799
"CloudLab-HTML",100,50,28,28,20,2200000,175.733799
"CloudLab-HTML",100,75,28,28,20,2200000,175.733799
