"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-16-2022 22:06:58:204","03-16-2022 22:07:02:978","4.774","34.0875","3497.73376790951","289.238"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-16-2022 22:07:14:238","03-16-2022 22:07:46:359","32.121","32","519.8524643691043","2388.2060000000006"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-16-2022 22:08:42:618","03-16-2022 22:08:54:134","11.516","45.040000000000006","1449.9983508162557","829.2129999999999"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-16-2022 22:09:05:934","03-16-2022 22:09:38:106","32.172","32","519.0283789630736","2463.0249999999996"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-16-2022 22:12:05:365","03-16-2022 22:12:10:109","4.744","34.1625","3519.85265767285","366.17799999999994"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-16-2022 22:12:22:121","03-16-2022 22:12:54:729","32.608","32","512.0884754661433","2471.899"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-16-2022 22:13:13:974","03-16-2022 22:13:15:876","1.902","34.233333333333334","52865.030590956885","77.549"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-16-2022 22:13:27:689","03-16-2022 22:13:59:127","31.438","32","3198.3360323175775","2502.221"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-16-2022 22:14:18:725","03-16-2022 22:14:19:772","1.047","34.12","228474.40507354346","65.446"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-16-2022 22:14:31:846","03-16-2022 22:15:16:775","44.929","32","5324.238289567985","3352.962999999999"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-16-2022 22:48:35:526","03-16-2022 22:48:40:524","4.998","34.077777777777776","3340.9725906362546","355.66200000000003"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-16-2022 22:48:52:478","03-16-2022 22:49:24:582","32.104","32","520.127741340643","2396.3579999999997"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-16-2022 22:49:44:215","03-16-2022 22:49:46:111","1.896","34.21666666666666","53032.32499156118","156.68"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-16-2022 22:49:58:189","03-16-2022 22:50:29:154","30.965","32","3247.1916093654127","2384.972"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-16-2022 22:50:49:083","03-16-2022 22:50:50:121","1.038","34.18","230455.39702504818","79.6"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-16-2022 22:51:02:232","03-16-2022 22:51:45:931","43.699","32","5474.100142154282","3259.74"
