"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 01:50:07:517","03-17-2022 01:50:20:501","12.984","34.11176470588236","1286.0583031423291","954.5759999999999"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 01:50:32:574","03-17-2022 01:51:15:774","43.2","32","386.53196777777777","3342.48"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 01:51:35:574","03-17-2022 01:54:44:637","189.063","34.13834196891195","88.32072382221799","12427.736999999997"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 01:54:59:612","03-17-2022 01:55:20:723","21.111","34.344","4762.886087063616","1818.77"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 01:55:32:771","03-17-2022 01:56:41:319","68.548","32","1466.8449580439983","5890.304000000001"
"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 01:57:04:991","03-17-2022 01:57:30:458","25.467","34.479310344827596","3948.2188001727727","1979.7830000000001"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 01:57:45:125","03-17-2022 01:59:35:809","110.684","34.171052631578895","2161.2220565935454","8771.424"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 01:59:48:183","03-17-2022 02:02:08:126","139.943","32","1709.3581108880044","10928.829"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 02:02:34:307","03-17-2022 02:03:31:123","56.816","34.194999999999986","4210.305232892143","4561.298000000001"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 02:03:47:182","03-17-2022 02:04:10:559","23.377","34.103703703703715","714.299568293622","1553.425"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 02:04:22:409","03-17-2022 02:05:05:142","42.733","32","390.75611372943627","3281.0900000000006"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 02:05:25:936","03-17-2022 02:08:39:690","193.754","34.168877551020444","86.18238079213849","12860.393999999998"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 02:08:53:955","03-17-2022 02:09:27:583","33.628","34.183783783783774","2990.046633281789","2574.8289999999997"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 02:09:39:152","03-17-2022 02:10:59:908","80.756","32","1245.0999081678142","5729.921"
"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 02:11:22:822","03-17-2022 02:11:41:856","19.034","35.247826086956536","5282.614699169906","1568.221"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 02:11:56:846","03-17-2022 02:13:30:761","93.915","34.179381443298944","2547.119226023532","7055.314999999998"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 02:13:43:293","03-17-2022 02:16:02:349","139.056","32","1720.261636405477","10851.639999999996"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 02:16:27:285","03-17-2022 02:17:18:784","51.499","34.43636363636364","4644.997031243325","4550.923999999999"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 02:17:34:296","03-17-2022 02:17:55:781","21.485","34.06","777.2018155922736","1428.2869999999998"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 02:18:07:396","03-17-2022 02:18:49:941","42.545","32","392.48280662827597","3127.4810000000007"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 02:19:09:425","03-17-2022 02:21:43:091","153.666","34.1464968152866","108.66542376322674","10377.453999999996"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 02:21:57:957","03-17-2022 02:22:23:022","25.065","34.31379310344828","4011.5415194095353","2187.6919999999996"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 02:22:35:214","03-17-2022 02:23:41:166","65.952","32","1524.5828509218825","5699.135"
"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 02:24:02:111","03-17-2022 02:24:24:333","22.222","34.81153846153847","4524.7632159121595","1735.4809999999998"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 02:24:39:236","03-17-2022 02:26:44:200","124.964","34.405468749999955","1914.2529217374604","9466.801000000003"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 02:26:57:539","03-17-2022 02:29:33:296","155.757","32","1535.807071990344","11698.139000000003"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 02:30:01:042","03-17-2022 02:30:42:864","41.822","34.631111111111125","5719.781505236479","3287.5530000000012"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 03:23:21:400","03-17-2022 03:23:36:514","15.114","34.08421052631579","1104.8154696308059","1009.0629999999999"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 03:23:48:552","03-17-2022 03:24:34:849","46.297","32","360.6752275093419","3354.895000000001"
